Cycle_Number,Time_Seconds_max,Voltage_V_mean,Voltage_V_std,Voltage_V_min,Voltage_V_max,Current_A_mean,Current_A_std,Current_A_min,Current_A_max,Temperature_C_mean,Temperature_C_std,Temperature_C_min,Temperature_C_max,Capacity_Ah,Initial_Capacity_Ah,SOH_Percent,Normalized_Cycle,RUL_Cycles
2,3690.234,3.5298286688693397,0.23655823616646715,2.612467347907089,4.191491807505295,-1.8187019641679725,0.5950584036965108,-2.0180146876333027,0.0007285852728454,32.572328114029,3.4958043644447594,24.325993424022467,38.98218133148803,1.8564874208181572,1.8564874208181572,100.0,0.0,354
4,3672.344,3.5373201277859705,0.23536612087025005,2.587208728940726,4.189773213846608,-1.8175598506612867,0.5967037718608692,-2.016820542901454,0.0029274033590803,32.72523522519307,3.435509488533705,24.685948163596,39.03339796678704,1.8463272497199272,1.8564874208181572,99.45272071416717,0.0032679738562091504,352
6,3651.641,3.5437367282719,0.22811108752216439,2.65191689384378,4.188186735991303,-1.8164865418840956,0.598033410427442,-2.016573862170142,0.001483676365228,32.64286193755933,3.3881738346115613,24.7342661639544,38.81879668981741,1.8353491942234081,1.8564874208181572,98.86138595081708,0.006535947712418301,350
8,3631.563,3.5436661072601456,0.23334650276899496,2.592947964776547,4.188461118855572,-1.8255891938692528,0.5849720920767388,-2.0159359571668354,0.0015470119527235,32.514876462048825,3.3953058258571183,24.65224374129252,38.7623045063458,1.8352625275821128,1.8564874208181572,98.85671763794174,0.00980392156862745,348
10,3629.172,3.5423432526672167,0.23730096225770814,2.547419651124539,4.188298524761055,-1.8261139590277584,0.5849781734923365,-2.017425579158831,0.0017014548245034,32.38234901543077,3.404666943380705,24.518700434435164,38.66539257343368,1.8346455082120419,1.8564874208181572,98.82348178817773,0.013071895424836602,346
12,3652.281,3.5413347346347575,0.23993226167114737,2.5209480504077413,4.188815807948604,-1.8168108743168805,0.5982374845560284,-2.0162347618032066,0.0024899497555445,32.43418218230641,3.4261217869037117,24.51442664842638,38.75169504640032,1.8356616600675493,1.8564874208181572,98.87821697485944,0.016339869281045753,344
14,3650.828,3.5410250495075206,0.2431395702465364,2.487927319492314,4.18839163793879,-1.816791144707133,0.5980272932806863,-2.01583310669507,0.0023142958827398,32.48041644475799,3.4283444842023885,24.575581239008407,38.8207012322275,1.8351461429226603,1.8564874208181572,98.85044855913478,0.0196078431372549,342
16,3572.453,3.554133296801585,0.227909916751301,2.665204904745877,4.188927891511958,-1.8443412120754061,0.5588480400785013,-2.0166395518034546,0.0022276160569156,32.41046186109587,3.3604246400026754,24.71132429046902,38.51713023385634,1.8257567905665537,1.8564874208181572,98.3446895515155,0.02287581699346405,340
18,3550.594,3.5529355991467946,0.23306799549076254,2.603858472633368,4.189029250882121,-1.853972745505648,0.5439173113548029,-2.018357230695621,0.0054010283210214,32.34614083129999,3.381314274142607,24.628487294051176,38.526267904657,1.824773852989133,1.8564874208181572,98.29174345738105,0.026143790849673203,338
20,3551.25,3.5512057319376997,0.2373541416710245,2.552853984885676,4.189223427076418,-1.8535899338510957,0.5437675433297862,-2.016071837814984,0.0030191479674457,32.27679750791685,3.3932601951659334,24.561560340089137,38.52698128472781,1.824613268496936,1.8564874208181572,98.28309354731991,0.029411764705882353,336
22,3530.25,3.54929231974095,0.24374302251465654,2.472448301852732,4.188916055911241,-1.863380178294828,0.5281400480827111,-2.0160713863396573,0.0026264001899385,32.15709350345253,3.4283380241436205,24.43128509546442,38.54143406601644,1.8246195526864504,1.8564874208181572,98.28343204622078,0.032679738562091505,334
25,3491.016,3.559759220648976,0.22947624709797754,2.64956413267546,4.189876247266316,-1.872968810287894,0.5130716590837108,-2.016851865845563,0.0023645237017673,32.36407129853099,3.372628957375285,24.74037188089418,38.52197451768004,1.814201935767392,1.8564874208181572,97.72228539894282,0.03758169934640523,331
27,3470.281,3.558081969139198,0.23524097823363493,2.5724981777366227,4.189286794768804,-1.8826095043160835,0.49561651324480943,-2.016393908986775,0.001858378552761,32.3181954403762,3.38303475344598,24.733107699311518,38.582485834057856,1.813752157754905,1.8564874208181572,97.69805803238792,0.04084967320261438,329
29,3470.0,3.555692244172496,0.23855345527869304,2.5249886697730286,4.188837765892728,-1.882536787636365,0.49562114622240877,-2.0158117255163046,0.0022664654273509,32.15709029211502,3.435270322883194,24.44798340505406,38.52029413487392,1.8134404914735827,1.8564874208181572,97.6812700769282,0.04411764705882353,327
